Length,HU
0.1,627
0.2,632
0.3,636
0.4,641
0.5,645
0.6,649
0.7,653
0.8,656
0.9,660
1,662
1.1,665
1.2,667
1.3,669
1.4,670
1.5,671
1.6,671
1.7,672
1.8,671
1.9,671
2,671
2.1,670
2.2,670
2.3,669
2.4,667
2.5,667
2.6,667
2.7,666
2.8,666
2.9,666
3,666
3.1,666
3.2,666
3.3,666
3.4,666
3.5,666
3.6,667
3.7,667
3.8,668
3.9,668
4,668
4.1,668
4.2,668
4.3,668
4.4,667
4.5,667
4.6,665
4.7,664
4.8,662
4.9,660
5,658
5.1,655
5.2,652
5.3,649
5.4,646
5.5,642
5.6,638
5.7,635
5.8,631
5.9,627
6,624
6.1,620
6.2,616
6.3,614
6.4,612
6.5,610
6.6,608
6.7,606
6.8,604
6.9,602
7,601
7.1,600
7.2,599
7.3,598
7.4,597
7.5,596
7.6,595
7.7,594
7.8,594
7.9,593
8,592
8.1,591
8.2,591
8.3,590
8.4,590
8.5,590
8.6,590
8.7,591
8.8,591
8.9,592
9,593
9.1,594
9.2,595
9.3,597
9.4,598
9.5,600
9.6,602
9.7,604
9.8,606
9.9,607
10,609
10.1,611
10.2,613
10.3,614
10.4,616
10.5,618
10.6,620
10.7,622
10.8,624
10.9,626
11,629
11.1,631
11.2,634
11.3,637
11.4,639
11.5,642
11.6,645
11.7,648
11.8,651
11.9,653
12,655
12.1,657
12.2,659
12.3,661
12.4,662
12.5,664
12.6,665
12.7,666
12.8,666
12.9,666
13,666
13.1,666
13.2,666
13.3,666
13.4,666
13.5,665
13.6,664
13.7,662
13.8,661
13.9,660
14,658
14.1,656
14.2,654
14.3,652
14.4,649
14.5,646
14.6,643
14.7,639
14.8,635
14.9,631
15,626
15.1,621
15.2,616
15.3,610
15.4,604
15.5,597
15.6,590
15.7,583
15.8,575
15.9,568
16,560
16.1,551
16.2,543
16.3,535
16.4,526
16.5,518
16.6,510
16.7,502
16.8,495
16.9,488
17,480
17.1,473
17.2,466
17.3,460
17.4,453
17.5,446
17.6,440
17.7,433
17.8,427
17.9,421
18,416
18.1,410
18.2,404
18.3,398
18.4,392
18.5,386
18.6,380
18.7,373
18.8,367
18.9,361
19,354
19.1,348
19.2,342
19.3,336
19.4,329
19.5,322
19.6,316
19.7,309
19.8,302
19.9,294
20,287
20.1,279
20.2,271
20.3,263
20.4,255
20.5,247
20.6,239
20.7,231
20.8,223
20.9,215
21,207
21.1,198
21.2,190
21.3,182
21.4,175
21.5,167
21.6,160
21.7,152
21.8,145
21.9,138
22,131
22.1,124
22.2,118
22.3,113
22.4,109
22.5,104
22.6,100
22.7,96
22.8,93
22.9,90
23,88
23.1,87
23.2,86
23.3,85
23.4,84
23.5,83
23.6,82
23.7,81
23.8,81
23.9,80
24,80
24.1,79
24.2,77
24.3,76
24.4,74
24.5,72
24.6,69
24.7,67
24.8,65
24.9,64
25,62
25.1,60
25.2,58
25.3,56
25.4,55
25.5,55
25.6,55
25.7,55
25.8,56
25.9,56
26,57
26.1,58
26.2,60
26.3,61
26.4,63
26.5,65
26.6,66
26.7,68
26.8,69
26.9,70
27,71
