Length,HU
0.1,208
0.2,196
0.3,183
0.4,169
0.5,157
0.6,147
0.7,137
0.8,130
0.9,129
1,134
1.1,142
1.2,152
1.3,163
1.4,175
1.5,189
1.6,203
1.7,218
1.8,231
1.9,243
2,255
2.1,268
2.2,272
2.3,270
2.4,268
2.5,265
2.6,262
2.7,252
2.8,247
2.9,242
3,234
3.1,227
3.2,219
3.3,212
3.4,207
3.5,203
3.6,200
3.7,199
3.8,200
3.9,204
4,211
4.1,216
4.2,221
4.3,225
4.4,233
4.5,248
4.6,266
4.7,285
4.8,302
4.9,319
5,335
5.1,337
5.2,334
5.3,324
5.4,316
5.5,307
5.6,301
5.7,293
5.8,285
5.9,279
6,273
6.1,267
6.2,260
6.3,261
6.4,260
6.5,259
6.6,258
6.7,259
6.8,261
6.9,266
7,270
7.1,274
7.2,277
7.3,277
7.4,275
7.5,273
7.6,274
7.7,276
7.8,281
7.9,288
8,288
8.1,287
8.2,285
8.3,281
8.4,277
8.5,271
8.6,259
8.7,246
8.8,232
8.9,221
9,212
9.1,206
9.2,203
9.3,199
9.4,195
9.5,191
9.6,186
9.7,181
9.8,173
9.9,165
10,157
10.1,149
10.2,142
10.3,139
10.4,137
10.5,140
10.6,145
10.7,151
10.8,158
10.9,165
11,172
11.1,178
11.2,182
11.3,185
11.4,181
11.5,179
11.6,177
11.7,176
11.8,173
11.9,171
12,172
12.1,176
12.2,178
12.3,181
12.4,186
12.5,191
12.6,199
12.7,209
12.8,220
12.9,232
13,246
13.1,259
13.2,258
13.3,257
13.4,256
13.5,255
13.6,255
13.7,254
13.8,251
13.9,246
14,241
14.1,236
14.2,233
14.3,234
14.4,239
14.5,245
14.6,253
14.7,262
14.8,271
14.9,270
15,266
15.1,263
15.2,261
15.3,260
15.4,258
15.5,252
15.6,246
15.7,241
15.8,237
15.9,231
16,223
16.1,217
16.2,210
16.3,202
16.4,194
16.5,187
16.6,178
16.7,166
16.8,154
16.9,144
17,136
17.1,130
17.2,128
17.3,129
17.4,130
17.5,133
17.6,136
17.7,140
17.8,137
17.9,132
18,126
18.1,118
18.2,109
18.3,98
18.4,91
18.5,85
18.6,81
18.7,78
18.8,78
18.9,80
19,85
19.1,89
19.2,82
19.3,73
19.4,63
19.5,51
19.6,38
19.7,25
19.8,14
19.9,3
20,-6
20.1,4
20.2,15
20.3,24
20.4,30
20.5,34
20.6,36
20.7,31
20.8,24
20.9,17
21,14
21.1,11
21.2,11
21.3,17
21.4,25
21.5,34
21.6,43
21.7,54
21.8,58
21.9,58
22,58
22.1,58
22.2,58
22.3,57
22.4,56
22.5,55
22.6,53
22.7,49
22.8,47
22.9,45
23,42
23.1,40
23.2,40
23.3,43
23.4,49
23.5,57
23.6,69
23.7,80
23.8,89
23.9,98
24,105
24.1,112
24.2,117
24.3,121
24.4,121
24.5,116
24.6,113
24.7,105
24.8,94
24.9,86
25,81
25.1,80
25.2,81
25.3,71
25.4,57
25.5,44
25.6,32
25.7,22
25.8,14
25.9,16
26,21
