pat,thick,add,phase,best,rec,d1,min1,max1,d2,min2,max2,d3,min3,max3,d4,min4,max4,comment
01,0,0,7,1,AIDR,1.6055555556,80,264,0.93375,84,169,0.775,53,255,3.0376940994,-709,106, 
01,0,1,7,1,AIDR,2.09,85,232,3.05,76,268,0.7495833333,69,268,2.9342424242,-750,88,
01,0,2,6,1,AIDR,2.005,69,259,2.1,69,217,1.3625,36,214,2.8753526646,-753,70,
01,0,3,6,1,AIDR,2.26875,76,241,2.2325,74,267,1.2642857143,54,281,2.7956744868,-762,80,
01,0,5,5,1,AIDR,2.265,74,252,1.9933333333,80,274,1.475,41,268,2.8699059561,-776,84,
01,0,7,4,1,AIDR,2.3833333333,80,280,1.8479166667,80,267,1.4020833333,45,270,2.8655172414,-785,78,
01,5,0,7,1,AIDR,3.60625,72,251,3.7825,88,221,2.30625,56,250,3.1962962963,-705,105,
01,5,1,7,1,AIDR,1.2,83,197,2.3916666667,91,269,2.2875,48,264,3.1540625,-743,80,
01,5,2,6,1,AIDR,1.5,72,240,2.1166666667,72,232,3.1708333333,42,207,3.092,-741,68,
01,5,3,6,1,AIDR,1.69,69,193,2.4625,69,274,2.0333333333,47,263,3.0786458333,-753,72,
01,5,5,5,1,AIDR,1.4229166667,72,235,2.3,72,270,1.75,59,255,3.0890625,-763,70,
01,5,7,4,1,AIDR,1.83125,73,274,2.49375,73,270,1.9785714286,50,253,3.0629289216,-769,68,
01,8,0,7,1,AIDR,2.675,74,247,3.9416666667,74,226,1.85,86,240,3.5553113553,-697,97,
01,8,1,7,1,AIDR,1.3166666667,83,198,2.8,83,263,2.4458333333,48,247,3.481512605,-728,72,
01,8,2,6,1,AIDR,1.5833333333,71,231,2.5375,71,226,2.7791666667,45,218,3.4342436975,-730,60,
01,8,3,6,1,AIDR,1.7270833333,69,214,2.9354166667,69,270,2.2666666667,48,244,3.4238839286,-740,67,
01,8,5,5,1,AIDR,1.5625,71,234,2.8583333333,71,267,2.1466666667,60,254,3.4069642857,-749,64,
01,8,7,4,1,AIDR,2.0875,76,270,3.0333333333,76,266,2.3666666667,52,254,3.3757894737,-754,64,
01,0,0,7,1,FBP,1.6363095238,33,324,1.2857142857,91,179,0.4568080357,10,303,2.94396654719235,-713,131,d4 was copied from Test_FBP_20
01,0,1,7,1,FBP,1.895625,75,262,1.484375,50,215,0.708,26,335,2.86721813725491,-764,96,d4 was copied from Test_FBP_20
01,0,2,6,1,FBP,2.3031746032,76,301,1.6260416667,55,176,0.6079545455,52,231,2.83119486768243,-777,74,d4 was copied from Test_FBP_20
01,0,3,6,1,FBP,3.7847222222,63,294,0.9704861111,69,238,0.6806722689,43,281,2.72392156862746,-783,89,d4 was copied from Test_FBP_20
01,0,5,5,1,FBP,1.6275,53,213,2.570625,85,304,0.5984210526,55,284,2.9189864864865,-801,112,d4 was copied from Test_FBP_20
01,0,7,4,1,FBP,1.4778409091,68,241,2.54125,83,289,0.55,71,288,2.87228343465047,-806,91,d4 was copied from Test_FBP_20
