type,edge_num,rec,thick,add,num_of_elements,mean,sd
d,1,a,0,0,29,1.95481869972167,1.05841590030015
m,1,a,0,0,29,108.663264329079,60.8461562476104
d,1,a,0,1,29,2.07786200152759,1.28553393075645
m,1,a,0,1,29,80.1189113871582,54.5331444375583
d,1,a,0,2,29,2.26115152117586,1.40511556960093
m,1,a,0,2,29,87.4508856502683,46.0872905245405
d,1,a,0,3,29,2.22353771566437,1.41855594650064
m,1,a,0,3,29,74.959965549883,41.4311779866589
d,1,a,0,5,29,2.0939241965,0.950837147551157
m,1,a,0,5,29,75.8826547794898,33.5425741428005
d,1,a,0,7,29,2.03340605205862,0.727872443482936
m,1,a,0,7,29,80.4186128381932,30.9904118410798
d,1,a,5,0,29,2.1982684104931,1.12286040596028
m,1,a,5,0,29,90.7801074733745,47.3571281766571
d,1,a,5,1,29,2.39826437692759,1.66522338452537
m,1,a,5,1,29,73.3178026373531,50.6332501959043
d,1,a,5,2,29,2.13430049091724,1.05206618307372
m,1,a,5,2,29,83.9654338792778,47.6990616634328
d,1,a,5,3,29,2.20088439407931,1.16253822795793
m,1,a,5,3,29,68.3945832083426,36.4723271402457
d,1,a,5,5,29,2.10727319376207,0.953987688168214
m,1,a,5,5,29,72.2990145648496,29.5542383539057
d,1,a,5,7,29,2.08491077647931,0.791464247667861
m,1,a,5,7,29,76.7026745342006,27.5039936517919
d,1,a,8,0,29,2.16233015414483,1.01481789633277
m,1,a,8,0,29,85.3566328724878,41.9500634395231
d,1,a,8,1,29,2.2769418547069,1.22956247000603
m,1,a,8,1,29,68.708682477667,44.302518288078
d,1,a,8,2,29,2.31430961757931,1.10910032270956
m,1,a,8,2,29,76.1753518658323,39.9397021161583
d,1,a,8,3,29,2.35011117952069,1.14338853314355
m,1,a,8,3,29,62.9584383911228,33.5891195132399
d,1,a,8,5,29,2.27612889984138,0.981152808449779
m,1,a,8,5,29,66.5177815960944,27.0000408468832
d,1,a,8,7,29,2.28004412972414,0.917613805526518
m,1,a,8,7,29,70.6689086424842,25.645154193263
d,1,f,0,0,29,1.43939380661339,1.20079624239166
m,1,f,0,0,29,266.014783011034,271.190232097028
d,1,f,0,1,28,1.75598591357038,0.842649817164468
m,1,f,0,1,28,127.13875508853,107.867792573549
d,1,f,0,2,29,1.98089850220743,1.80215753080812
m,1,f,0,2,29,123.778238566721,75.8355698588596
d,1,f,0,3,29,2.26933323118493,2.14594039835582
m,1,f,0,3,29,114.284639656638,96.7629398063002
d,1,f,0,5,29,2.06621456151418,1.11034810813354
m,1,f,0,5,29,93.4425193764586,51.1477428718424
d,1,f,0,7,29,2.13622648267611,1.0256970845288
m,1,f,0,7,29,90.703875001625,43.9783702179193
d,1,f,5,0,29,1.89597234644031,1.27950372745689
m,1,f,5,0,29,136.263430299025,100.653780300764
d,1,f,5,1,28,2.08249400510613,1.93063410492375
m,1,f,5,1,28,100.546176298979,76.7072448832897
d,1,f,5,2,29,2.14114078709337,1.33357530241298
m,1,f,5,2,29,101.613813801694,66.2469673731493
d,1,f,5,3,29,1.96949405784618,1.31306738371804
m,1,f,5,3,29,89.1434059761313,57.8385649571684
d,1,f,5,5,29,1.81571107904483,0.988336337178882
m,1,f,5,5,29,86.3334429610288,39.6851766365572
d,1,f,5,7,29,2.02702473533153,0.845694298285347
m,1,f,5,7,29,83.5045156639442,35.8165554288424
d,1,f,8,0,29,2.42141529085064,1.89366981606242
m,1,f,8,0,29,116.313031853848,83.3127910055135
d,1,f,8,1,28,2.32933583339375,1.76492616747659
m,1,f,8,1,28,82.4310290301573,58.8511540270704
d,1,f,8,2,29,2.29336657729616,1.24365690573766
m,1,f,8,2,29,87.859497461452,53.4575998142805
d,1,f,8,3,29,2.2643469273381,1.40561977833878
m,1,f,8,3,29,75.4264117305902,47.0814708794659
d,1,f,8,5,29,2.32784215305862,1.20379273942957
m,1,f,8,5,29,72.3324762545586,34.2097206410312
d,1,f,8,7,29,2.31462153866552,1.05732438029618
m,1,f,8,7,29,74.9535281120611,33.3346253053225
d,2,a,0,0,29,1.92957720660345,0.86305920142614
m,2,a,0,0,29,100.391227115829,46.2303227314419
d,2,a,0,1,29,2.23334711713103,0.853295438968451
m,2,a,0,1,29,91.7426590063406,43.8780996827266
d,2,a,0,2,29,2.47524403756552,1.1178891385678
m,2,a,0,2,29,76.3973372644338,36.4575274581116
d,2,a,0,3,29,2.37617590981872,1.03010724839544
m,2,a,0,3,29,84.6530462813648,35.1273288781296
d,2,a,0,5,29,2.39180936998621,0.836686096224136
m,2,a,0,5,29,81.3897339406243,34.826238694201
d,2,a,0,7,29,2.65658622268621,1.25534928179544
m,2,a,0,7,29,70.3884602321088,26.8221028588016
d,2,a,5,0,29,1.91718878836552,0.742001890010043
m,2,a,5,0,29,98.1439125659639,41.3206222053274
d,2,a,5,1,29,2.20345994044828,0.797990202933841
m,2,a,5,1,29,89.8139891851515,40.6941363140034
d,2,a,5,2,29,2.5735440613,1.21927982384362
m,2,a,5,2,29,76.3401226593404,44.4794264929002
d,2,a,5,3,29,2.63452163257931,1.2157121720613
m,2,a,5,3,29,78.4553306519986,33.6143446962113
d,2,a,5,5,29,2.67468540319655,1.30688701714975
m,2,a,5,5,29,74.4541225309792,30.818786388721
d,2,a,5,7,29,2.79249039035862,1.32863091885751
m,2,a,5,7,29,65.9577428272527,23.0854174949678
d,2,a,8,0,29,2.17893259040345,0.953387148415873
m,2,a,8,0,29,88.2412243757403,36.4309797294385
d,2,a,8,1,29,2.51584556247931,0.939647431641701
m,2,a,8,1,29,82.8864761031001,37.5620894918019
d,2,a,8,2,29,2.87714609145517,1.55790789714953
m,2,a,8,2,29,68.3686916561541,32.4790364331002
d,2,a,8,3,29,2.77921440388966,1.30676670542946
m,2,a,8,3,29,74.347100382154,32.050914443224
d,2,a,8,5,29,2.81680602203793,1.34770183205382
m,2,a,8,5,29,69.8686647539201,29.0430307113434
d,2,a,8,7,29,2.87427610464138,1.3102144772389
m,2,a,8,7,29,62.7099598451855,21.6031995598147
d,2,f,0,0,29,1.98821229389218,1.30479855239147
m,2,f,0,0,29,159.711959932982,165.805944604445
d,2,f,0,1,28,1.96954164058907,1.21385665744009
m,2,f,0,1,28,141.943504865896,106.908456492847
d,2,f,0,2,29,1.93412488928112,1.11699031331806
