Length,HU
0.1,152
0.2,151
0.3,151
0.4,151
0.5,152
0.6,152
0.7,152
0.8,151
0.9,151
1,151
1.1,150
1.2,150
1.3,151
1.4,152
1.5,153
1.6,155
1.7,156
1.8,156
1.9,158
2,159
2.1,160
2.2,161
2.3,162
2.4,164
2.5,166
2.6,168
2.7,170
2.8,172
2.9,174
3,176
3.1,178
3.2,180
3.3,182
3.4,183
3.5,184
3.6,185
3.7,185
3.8,185
3.9,185
4,185
4.1,184
4.2,184
4.3,185
4.4,186
4.5,186
4.6,186
4.7,186
4.8,186
4.9,186
5,185
5.1,182
5.2,180
5.3,178
5.4,177
5.5,177
5.6,177
5.7,177
5.8,177
5.9,177
6,178
6.1,178
6.2,178
6.3,178
6.4,178
6.5,179
6.6,180
6.7,182
6.8,184
6.9,186
7,189
7.1,191
7.2,194
7.3,196
7.4,198
7.5,200
7.6,201
7.7,202
7.8,202
7.9,201
8,201
8.1,199
8.2,197
8.3,195
8.4,194
8.5,193
8.6,193
8.7,192
8.8,191
8.9,190
9,189
9.1,189
9.2,188
9.3,188
9.4,187
9.5,186
9.6,185
9.7,184
9.8,182
9.9,180
10,178
10.1,177
10.2,175
10.3,173
10.4,172
10.5,170
10.6,168
10.7,165
10.8,162
10.9,160
11,157
11.1,153
11.2,149
11.3,146
11.4,142
11.5,140
11.6,137
11.7,134
11.8,133
11.9,132
12,130
12.1,127
12.2,125
12.3,123
12.4,120
12.5,117
12.6,115
12.7,114
12.8,112
12.9,112
13,111
13.1,111
13.2,111
13.3,110
13.4,108
13.5,106
13.6,104
13.7,102
13.8,100
13.9,98
14,96
14.1,95
14.2,93
14.3,92
14.4,90
14.5,88
14.6,87
14.7,86
14.8,85
14.9,84
15,84
15.1,84
15.2,85
15.3,87
15.4,89
15.5,90
15.6,91
15.7,91
15.8,92
15.9,93
16,93
16.1,92
16.2,93
16.3,93
16.4,93
16.5,94
16.6,95
16.7,96
16.8,96
16.9,95
17,94
17.1,93
17.2,92
17.3,90
17.4,89
17.5,87
17.6,84
17.7,83
17.8,81
17.9,81
18,81
18.1,81
18.2,83
18.3,85
18.4,87
18.5,89
18.6,92
18.7,95
18.8,98
18.9,101
19,104
19.1,107
19.2,111
19.3,113
19.4,116
19.5,120
19.6,125
19.7,131
19.8,138
19.9,146
20,153
20.1,160
20.2,167
20.3,173
20.4,179
20.5,185
20.6,192
20.7,199
20.8,205
20.9,213
21,222
21.1,229
21.2,236
21.3,243
21.4,249
21.5,254
21.6,259
21.7,263
21.8,267
21.9,270
22,274
22.1,276
22.2,279
22.3,280
22.4,282
22.5,284
22.6,286
22.7,288
22.8,290
22.9,293
23,297
23.1,301
23.2,306
23.3,312
23.4,318
23.5,324
23.6,331
23.7,338
23.8,345
